head,relation,tail,mode
n04393095,_hypernym,n03707597,train
n04446276,_hyponym,n04555291,train
n03209910,_hypernym,n03706653,train
n09725229,_hypernym,n09738400,train
n00478262,_hypernym,n00468480,train
n03431243,_hyponym,n03518631,train
n09772930,_hypernym,n09772746,train
n09951274,_hypernym,n00007846,train
n04474187,_hypernym,n04194289,train
n03501152,_hypernym,n03839795,train
n02484473,_hyponym,n02484975,train
n03199901,_has_part,n03905730,train
n02862048,_has_part,n03429771,train
n02279637,_hyponym,n02279972,train
n11545714,_hyponym,n13171210,train
n02838728,_part_of,n02799323,train
n03970156,_hypernym,n03489162,train
n09505153,_hyponym,n10502329,train
n03243218,_hyponym,n04050600,train
n01956344,_hypernym,n01321579,train
n01985128,_hyponym,n01985493,train
n10053808,_hyponym,n09841188,train
n04472243,_hypernym,n03431243,train
n09815790,_hyponym,n10669991,train
n10741367,_hypernym,n09917593,train
n11953884,_hyponym,n11955153,train
n02416519,_hyponym,n02417070,train
n03525827,_hyponym,n03594277,train
n10611613,_hypernym,n10009484,train
n02958343,_hyponym,n04302988,train
n00007846,_hyponym,n10576223,train
n03574816,_hyponym,n03967396,train
n09629752,_hyponym,n10335931,train
n01614343,_hypernym,n01613294,train
n11669921,_hyponym,n11905749,train
n02402425,_hyponym,n02405577,train
n03857828,_part_of,n02962938,train
n03478589,_hypernym,n04464852,train
n09792969,_hypernym,n10698368,train
n03768132,_hypernym,n03305522,train
n09927451,_hyponym,n10750188,train
n03424862,_hypernym,n03429288,train
n02866578,_hyponym,n03390327,train
n03665924,_hypernym,n03272383,train
n13003522,_hypernym,n12998815,train
n02740764,_hyponym,n04538878,train
n02372952,_hypernym,n02372584,train
n01324916,_hypernym,n00015388,train
n12992868,_hyponym,n12997654,train
n13206178,_hypernym,n11545714,train
n10568200,_hypernym,n10205457,train
n12934479,_has_part,n07827554,train
n07743224,_part_of,n12248574,train
n13100677,_hyponym,n12748248,train
n01733757,_hypernym,n01727646,train
n01944812,_hypernym,n01944390,train
n07859284,_hyponym,n07595180,train
n02848523,_part_of,n04011827,train
n01965889,_hyponym,n01966586,train
n10482220,_hypernym,n09773962,train
n12287642,_hyponym,n12288005,train
n12205694,_hyponym,n11700058,train
n02821627,_has_part,n02818832,train
n03327691,_hyponym,n04121511,train
n09943239,_hypernym,n09942970,train
n07747055,_hyponym,n07749446,train
n07711569,_hypernym,n07710616,train
n09920901,_hypernym,n09989502,train
n11975254,_hypernym,n13083023,train
n03405725,_hyponym,n03015254,train
n03004824,_hypernym,n02735688,train
n00015388,_hyponym,n01315330,train
n13100156,_hyponym,n12677612,train
n01838598,_hyponym,n01839086,train
n07708798,_hypernym,n07707451,train
n11621029,_hyponym,n11621281,train
n02746365,_hypernym,n02738031,train
n03502509,_hyponym,n02954340,train
n02554730,_hyponym,n02604157,train
n12357968,_hypernym,n12205694,train
n03365991,_hyponym,n02800497,train
n02761557,_hypernym,n03287733,train
n03259505,_hyponym,n04613696,train
n11647306,_hypernym,n13108841,train
n02913152,_hyponym,n02666943,train
n07721942,_hypernym,n07721456,train
n12604845,_has_part,n07736527,train
n12515925,_part_of,n12515711,train
n03103128,_hypernym,n03294048,train
n09359803,_hyponym,n09218641,train
n12560282,_hypernym,n11748002,train
n13118707,_hyponym,n11797981,train
n00449517,_member_of_domain_topic,n03061674,train
n03963028,_hypernym,n03058107,train
n02329401,_hyponym,n02361337,train
n03359566,_hyponym,n04518132,train
n12340383,_hypernym,n12334293,train
n12205694,_hyponym,n13150894,train
n02834778,_hyponym,n04026813,train
n02063224,_hypernym,n02062744,train
n13109733,_hyponym,n12329473,train
n01580077,_hyponym,n01581166,train
n01317541,_hypernym,n00015388,train
n03709206,_hyponym,n03760671,train
n01846331,_hyponym,n01852142,train
n11672400,_hyponym,n11981475,train
n03101986,_hyponym,n03880531,train
n10271677,_hyponym,n10293861,train
n02177972,_hyponym,n02182045,train
n13085113,_hyponym,n11984144,train
n02471762,_hypernym,n02469914,train
n07813579,_hypernym,n07809368,train
n07809368,_hyponym,n07827130,train
n04595762,_hypernym,n03819595,train
n02796995,_hyponym,n02795670,train
n11644046,_hypernym,n11643835,train
n01653509,_hypernym,n01639765,train
n13118707,_hyponym,n12534862,train
n02700258,_hypernym,n03733925,train
n02283201,_hyponym,n02291220,train
n04494204,_hyponym,n03708962,train
n12174521,_hypernym,n12174311,train
n11608250,_hyponym,n11616852,train
n01731545,_hypernym,n01727646,train
n03175604,_hyponym,n03338287,train
n04447443,_hyponym,n03176594,train
n02037464,_hypernym,n02022684,train
n02913152,_has_part,n04105893,train
n03108853,_part_of,n04591713,train
n01557185,_hyponym,n01558765,train
n02692232,_has_part,n02687821,train
n10665698,_hyponym,n10218043,train
n11953038,_has_part,n07730855,train
n03142431,_hypernym,n02921884,train
n12700357,_hypernym,n12695144,train
n12752205,_hyponym,n12753762,train
n10143595,_hypernym,n09627906,train
n12425281,_hyponym,n12464476,train
n02652668,_hyponym,n02655523,train
n02958343,_hyponym,n03543394,train
n12163035,_hypernym,n13100677,train
n04498523,_hyponym,n03426574,train
n12685431,_hypernym,n12205694,train
n02000954,_hyponym,n02019929,train
n02251775,_hyponym,n02252226,train
n03323703,_hyponym,n03114839,train
n04451818,_hyponym,n03997484,train
n01342269,_hyponym,n01347583,train
n01918744,_hypernym,n01905661,train
n07690019,_hypernym,n07680932,train
n09722658,_hypernym,n09697401,train
n09629246,_hyponym,n10168183,train
n12205694,_hyponym,n13238375,train
n02917377,_hypernym,n03691459,train
n02599052,_hyponym,n02599557,train
n10036266,_hypernym,n00007846,train
n07754894,_hypernym,n12201580,train
n12205694,_hyponym,n11752578,train
n02262449,_hypernym,n02262178,train
n02174659,_hypernym,n02174355,train
n13104059,_hyponym,n12284262,train
n12205694,_hyponym,n12822115,train
n01964271,_hypernym,n01964049,train
n03189083,_part_of,n02942699,train
n11955153,_hypernym,n11953884,train
n12102133,_hyponym,n12131550,train
n12731029,_hypernym,n12725521,train
n01664065,_hypernym,n01663401,train
n01613294,_hyponym,n01614343,train
n02760429,_hyponym,n03701391,train
n11545714,_hyponym,n12960378,train
n04508489,_hyponym,n02854739,train
n13104059,_hyponym,n12409231,train
n03351434,_member_meronym,n04278605,train
n02849154,_derivationally_related_form,n03123553,train
n02395694,_derivationally_related_form,n02395406,train
n09629752,_hyponym,n10060175,train
n13138658,_hypernym,n13138308,train
n02237424,_hypernym,n02236896,train
n07809368,_hyponym,n07827410,train
n02670382,_hyponym,n03156071,train
n00471613,_member_of_domain_topic,n03528901,train
n03082979,_has_part,n03614007,train
n01976957,_hypernym,n01976146,train
n03391770,_hyponym,n03454536,train
n09988063,_hypernym,n10080869,train
n07761611,_part_of,n11695085,train
n10409752,_hyponym,n10700201,train
n12601494,_has_part,n07803310,train
n13138308,_hyponym,n07767344,train
n10582746,_hyponym,n09811852,train
n04236377,_part_of,n03419014,train
n01333082,_member_meronym,n01330497,train
n12839574,_hypernym,n12205694,train
n10763620,_hypernym,n10763383,train
n04208210,_hypernym,n03489162,train
n02590987,_hypernym,n02590702,train
n02934168,_hypernym,n03088707,train
n10222497,_hypernym,n10018861,train
n09403734,_hypernym,n09287968,train
n03101986,_hyponym,n03990474,train
n04524313,_hypernym,n03100490,train
n00447540,_hypernym,n00433458,train
n07742704,_hyponym,n07744057,train
n04404200,_hypernym,n03007591,train
n03796605,_hypernym,n03327841,train
n04605726,_hyponym,n03590306,train
n12773142,_hypernym,n12772753,train
n03427296,_has_part,n03682487,train
n13118707,_hyponym,n11924445,train
n09802445,_hypernym,n00007846,train
n03996145,_has_part,n04452848,train
n04508163,_hypernym,n03419014,train
n03953416,_hyponym,n03007130,train
n12062468,_hyponym,n12062781,train
n04524313,_hyponym,n04576211,train
n03718458,_hypernym,n03719053,train
n12205694,_hyponym,n12930778,train
n10542888,_hypernym,n09820263,train
n03476083,_hypernym,n02756098,train
n01723579,_hypernym,n01722998,train
n12394638,_hypernym,n12205694,train
n02329401,_hyponym,n02366959,train
n01317541,_hyponym,n01318053,train
n02913152,_hyponym,n02993546,train
n10092488,_hypernym,n10205457,train
n03259505,_hyponym,n03544360,train
n12651821,_hyponym,n12775717,train
n01732789,_hypernym,n01732244,train
n10562968,_hypernym,n10512708,train
n02602059,_hypernym,n02601344,train
n13134947,_hyponym,n07705931,train
n01841102,_hypernym,n01838598,train
n07566863,_hyponym,n07804323,train
n11951052,_has_part,n07709701,train
n03489162,_hyponym,n04606574,train
n03183080,_hyponym,n03339643,train
n02481823,_hypernym,n02480153,train
n11689678,_hypernym,n11689483,train
n12753762,_hypernym,n12752205,train
n12135898,_hyponym,n12117912,train
n02765028,_part_of,n02970849,train
n02288789,_hyponym,n02290664,train
n03336839,_hypernym,n03489162,train
n07844867,_hypernym,n07844604,train
n07775197,_hypernym,n07770571,train
n04322026,_part_of,n02746365,train
n02599958,_hyponym,n02600298,train
n01472303,_hypernym,n01471682,train
n03421768,_hypernym,n02866578,train
n07560652,_hyponym,n07561112,train
n11766046,_hypernym,n13136316,train
n01543383,_hypernym,n01542786,train
n01439514,_hypernym,n01439121,train
n11991263,_hypernym,n11672400,train
n12707781,_hyponym,n12711182,train
n04519887,_hypernym,n02950632,train
n02236896,_hyponym,n02238887,train
n02188699,_hyponym,n02196344,train
n02283201,_hyponym,n02287004,train
n12476510,_hyponym,n12477747,train
n10342543,_hypernym,n10630188,train
n00007846,_hyponym,n09613191,train
n12318965,_hypernym,n12318378,train
n12400924,_hypernym,n12651821,train
n02171453,_hypernym,n02164464,train
n03644378,_hypernym,n04108268,train
n01630284,_hyponym,n01631175,train
n00015388,_hyponym,n01314781,train
n13230662,_hyponym,n13231078,train
n03119510,_hypernym,n03736970,train
n03738472,_hyponym,n02761392,train
n02401031,_hyponym,n02419796,train
n12392070,_hyponym,n12395068,train
n04111190,_part_of,n04110955,train
n01853498,_hypernym,n01852861,train
n12400720,_hypernym,n12651821,train
n02441942,_hypernym,n02441326,train
n03928814,_part_of,n03928116,train
n03877472,_hypernym,n03825080,train
n03201638,_hypernym,n03384891,train
n13905792,_hyponym,n13906669,train
n02597367,_hypernym,n02594250,train
n13100677,_hyponym,n11798978,train
n09941964,_hypernym,n10317007,train
n07709333,_hyponym,n07733712,train
n02958343,_has_part,n03366721,train
n02153203,_hypernym,n02152991,train
n09613191,_hyponym,n10782940,train
n04516672,_hypernym,n03563967,train
n04250224,_hypernym,n04090263,train
n07907943,_hyponym,n07910656,train
n03099945,_hyponym,n03163798,train
n11855274,_hypernym,n12205694,train
n12821505,_hypernym,n12205694,train
n09970088,_hypernym,n00007846,train
n07902937,_hypernym,n07901587,train
n02084071,_hyponym,n02111626,train
n12837259,_hypernym,n12836862,train
n03146219,_has_part,n02770078,train
n03736970,_hyponym,n03700963,train
n11890022,_hypernym,n12205694,train
n13108841,_hyponym,n11661372,train
n00007846,_hyponym,n09636339,train
n03738472,_hyponym,n03096960,train
n02883344,_hyponym,n03014705,train
n03405725,_hyponym,n04161981,train
n04565375,_hyponym,n03624134,train
n03528263,_hyponym,n03620052,train
n03490324,_hypernym,n03051540,train
n02175569,_hypernym,n02171869,train
n04587648,_part_of,n02913152,train
n01886756,_hyponym,n02082791,train
n12698435,_hypernym,n13104059,train
n07906284,_hypernym,n07901587,train
n07771539,_member_holonym,n12319414,train
n02862048,_has_part,n04519887,train
n07726230,_part_of,n12510774,train
n03616428,_part_of,n02834778,train
n04341414,_hypernym,n04359589,train
n12725521,_hyponym,n12729729,train
n12890265,_hypernym,n11669921,train
n03309808,_hyponym,n04432662,train
n03431243,_hyponym,n04472243,train
n03098140,_hyponym,n03163222,train
n12801520,_hypernym,n13122364,train
n01579260,_hypernym,n01578575,train
n04452848,_part_of,n03074855,train
n03525827,_hyponym,n03027250,train
n13874073,_hypernym,n13873502,train
n03236735,_hyponym,n03450230,train
n04395875,_hyponym,n04018399,train
n07809368,_hyponym,n07824702,train
n12345280,_hypernym,n12651821,train
n10212501,_hypernym,n09624559,train
n03786194,_has_part,n04368496,train
n12464476,_hyponym,n12464649,train
n10669991,_hypernym,n09815790,train
n07884567,_hyponym,n07911371,train
n04586932,_hyponym,n02891788,train
n02256172,_hypernym,n02251775,train
n01384687,_synset_domain_topic_of,n00017222,train
n03915437,_hyponym,n03249569,train
n07566340,_hyponym,n07569106,train
n13040303,_hypernym,n12992868,train
n01753959,_hypernym,n01752165,train
n07931280,_hypernym,n07930554,train
n03621049,_hyponym,n03724417,train
n02310000,_hypernym,n02309337,train
n09928451,_hypernym,n10053808,train
n03701391,_hyponym,n02760855,train
n10228592,_hypernym,n10225219,train
n12942395,_hypernym,n12205694,train
n03100490,_hyponym,n03709644,train
n11669921,_hypernym,n11665372,train
n10401331,_hypernym,n09964411,train
n03067339,_hypernym,n03128519,train
n03502509,_hyponym,n03497657,train
n12729315,_hypernym,n12724942,train
n03051540,_hyponym,n03502509,train
n04079933,_hyponym,n04086794,train
n12778605,_hypernym,n12205694,train
n02626762,_hyponym,n02627292,train
n12449296,_hyponym,n12449784,train
n11669921,_hyponym,n12293723,train
n03358172,_part_of,n03358726,train
n13104059,_hyponym,n12201938,train
n02432511,_hypernym,n02430045,train
n02509197,_hypernym,n02507649,train
n04187061,_hyponym,n02684649,train
n04401088,_hypernym,n03278248,train
n02445394,_hypernym,n02441326,train
n11672400,_hyponym,n11993203,train
n03915437,_hyponym,n03928116,train
n11672400,_hyponym,n12796385,train
n10383237,_hypernym,n10708454,train
n04341414,_hyponym,n02815950,train
n12205694,_hyponym,n11805255,train
n09619168,_hyponym,n10084295,train
n02399000,_hyponym,n02430045,train
n03953020,_hyponym,n04286128,train
n07705931,_hyponym,n07751004,train
n12728322,_hypernym,n12724942,train
n01776313,_hypernym,n01776192,train
n12711596,_hypernym,n12707781,train
n03785142,_part_of,n04367480,train
n02458135,_hypernym,n02456962,train
n01570676,_hypernym,n01567133,train
n02846141,_hypernym,n03051540,train
n03156071,_hypernym,n02670382,train
n04370048,_hypernym,n03419014,train
n10763245,_hypernym,n10335246,train
n03948459,_hyponym,n02760658,train
n04365484,_hyponym,n04419073,train
n13221529,_hyponym,n13224673,train
n04417180,_hyponym,n03689157,train
n03401721,_hypernym,n03294048,train
n02472293,_hyponym,n02473307,train
n03528263,_hyponym,n04517823,train
n02881193,_hypernym,n04531098,train
n02801823,_part_of,n02862048,train
n11643835,_hypernym,n13108841,train
n02450034,_hypernym,n02441326,train
n02958343,_hyponym,n04347119,train
n07595180,_hypernym,n07859284,train
n01912454,_hypernym,n01911839,train
n02012849,_hypernym,n02000954,train
n02298541,_hypernym,n02283201,train
n10148305,_hyponym,n10091564,train
n03033362,_hyponym,n03669886,train
n12202936,_hyponym,n12203529,train
n05233741,_hypernym,n13905121,train
n02188699,_hyponym,n02189363,train
n04105068,_hyponym,n04523525,train
n09287968,_hyponym,n09238926,train
n12320010,_hyponym,n12321395,train
n01935176,_hypernym,n01934440,train
n02815950,_hyponym,n04089152,train
n03473465,_part_of,n04194289,train
n02991302,_hypernym,n04105893,train
n01727646,_hyponym,n01737021,train
n02449699,_hypernym,n02441326,train
n02244515,_hypernym,n02244173,train
n02402425,_hyponym,n02403003,train
n07811416,_hyponym,n07932841,train
n01677366,_hypernym,n01676755,train
n07765208,_hypernym,n07705931,train
n12499163,_hyponym,n12500751,train
n02794156,_hypernym,n03733925,train
n00433802,_hyponym,n00434075,train
n09437454,_hyponym,n09361517,train
n12455950,_hypernym,n13100156,train
n10556518,_hypernym,n10438172,train
n10102800,_hypernym,n09792555,train
n02756098,_hyponym,n03476083,train
n03976657,_hypernym,n04100174,train
n04506289,_hypernym,n03467517,train
n09842047,_hyponym,n10105733,train
n12806732,_hyponym,n12807251,train
n12205694,_hyponym,n12931906,train
n01650167,_hyponym,n01652297,train
n13100677,_hyponym,n12163035,train
n10333165,_hypernym,n00007846,train
n03385557,_hyponym,n02980441,train
n01741943,_hyponym,n01743605,train
n02782778,_hypernym,n04295881,train
n04292572,_hypernym,n03691459,train
n12205694,_hyponym,n12834798,train
n03990474,_hyponym,n03612814,train
n12946849,_hyponym,n12948251,train
n02301452,_hyponym,n02302459,train
n11669921,_hyponym,n11815491,train
n12665271,_hypernym,n12665048,train
n12056217,_hyponym,n12056990,train
n02406174,_hyponym,n02407172,train
n07570720,_hyponym,n07560422,train
n03655072,_hypernym,n03419014,train
n11669921,_hyponym,n11892637,train
n09861946,_hypernym,n09632518,train
n11545714,_hyponym,n12954353,train
n13905792,_hyponym,n13906484,train
n04073948,_hyponym,n03099454,train
n01851375,_hypernym,n01846331,train
n04170037,_hyponym,n03791235,train
n03577090,_hypernym,n03084420,train
n03518631,_hypernym,n03431243,train
n02407172,_hypernym,n02406174,train
n04166281,_hypernym,n02958343,train
n02822399,_part_of,n02822579,train
n12495146,_hyponym,n11750508,train
n02445715,_hyponym,n02446645,train
n03422589,_hypernym,n04494204,train
n02442845,_hypernym,n02441326,train
n04148054,_has_part,n02848216,train
n09753348,_hypernym,n00007846,train
n04516672,_hyponym,n02997607,train
n07642471,_hyponym,n07642933,train
n02973017,_part_of,n03467984,train
n04008385,_has_part,n03100897,train
n04531098,_hypernym,n03094503,train
n01448291,_hypernym,n01446589,train
n03623556,_hyponym,n03973628,train
n11923174,_hypernym,n11915214,train
n09436708,_has_part,n09247410,train
n01449374,_hypernym,n01448951,train
n04613015,_hypernym,n03309808,train
n11666854,_hypernym,n11665372,train
n01578575,_hyponym,n01581730,train
n01855188,_hypernym,n01854415,train
n04067472,_member_holonym,n03351434,train
n03339296,_hypernym,n04605726,train
n04359589,_hyponym,n02797692,train
n10484858,_hypernym,n10249950,train
n04555897,_hypernym,n04437953,train
n03076411,_hypernym,n04202417,train
n11695599,_has_part,n07762114,train
n04272054,_hypernym,n03852280,train
n03419014,_hyponym,n04370048,train
n10241300,_hyponym,n09927089,train
n07612632,_hyponym,n07618871,train
n02770078,_hypernym,n02740764,train
n13206817,_hypernym,n11545714,train
n03358726,_has_part,n03358172,train
n13139055,_hyponym,n11748811,train
n13118707,_hyponym,n12661538,train
n02041085,_hypernym,n02040505,train
n01922303,_hyponym,n01922717,train
n02564720,_hyponym,n02565072,train
n13109733,_hyponym,n12773917,train
n07884567,_hypernym,n07881800,train
n02166229,_hypernym,n02165456,train
n13108662,_hyponym,n13108841,train
n03928116,_has_part,n03318983,train
n12766043,_hypernym,n12651821,train
n01727646,_hyponym,n01729322,train
n01823013,_hyponym,n01824575,train
n04374735,_hypernym,n03953416,train
n11773628,_hypernym,n13120211,train
n12278371,_hypernym,n12268246,train
n02329401,_hyponym,n02343772,train
n09943239,_hyponym,n09893191,train
n12041446,_hyponym,n12065316,train
n11669921,_hyponym,n12034141,train
n01563128,_hyponym,n01567133,train
n02970685,_hypernym,n04161358,train
n12695144,_hyponym,n12698027,train
n07687211,_hypernym,n07679356,train
n02401031,_hypernym,n02399000,train
n11820965,_hypernym,n11669921,train
n04294212,_hyponym,n04294614,train
n07903208,_hypernym,n07901587,train
n03852688,_has_part,n03309465,train
n07936263,_hypernym,n07881800,train
n07769306,_part_of,n12736603,train
n02098550,_hyponym,n02099029,train
n02085374,_hypernym,n02084071,train
n03209910,_part_of,n03082979,train
n04191595,_hyponym,n03550153,train
n03521076,_part_of,n02963821,train
n01563746,_hypernym,n01563128,train
n04580493,_hyponym,n04070727,train
n03191776,_hypernym,n02770830,train
n02136103,_hypernym,n02135220,train
n12061614,_hypernym,n12041446,train
n04161981,_hyponym,n04326896,train
n01826364,_hypernym,n01825930,train
n03446070,_hyponym,n03585073,train
n02982232,_hypernym,n03183080,train
n07881800,_hyponym,n07914006,train
n04267577,_hypernym,n03976657,train
n03966976,_hypernym,n03489162,train
n12284262,_hyponym,n12285049,train
n13053608,_hypernym,n13049953,train
n04379243,_has_part,n03654826,train
n11545714,_hyponym,n13172923,train
n13136316,_hyponym,n12576323,train
n04359589,_hyponym,n03654826,train
n12355760,_hyponym,n12357485,train
n12166424,_hypernym,n13100677,train
n01320872,_hyponym,n01862399,train
n13144084,_hypernym,n13104059,train
n10219879,_hypernym,n00007846,train
n12537569,_hypernym,n13100677,train
n01922303,_hyponym,n01924916,train
n03659292,_hyponym,n04269086,train
n02472987,_hypernym,n02472293,train
n03309808,_hyponym,n02677028,train
n04262161,_part_of,n03928116,train
n03820728,_hypernym,n04377057,train
n03204306,_hypernym,n03633091,train
n07751004,_part_of,n12648045,train
n02704949,_has_part,n04541662,train
n01525720,_hyponym,n01582856,train
n04194289,_hyponym,n03947888,train
n02661017,_hyponym,n02663211,train
n02882483,_hyponym,n02882647,train
n04401088,_part_of,n04402746,train
n09453008,_hypernym,n09302616,train
n12041446,_hyponym,n12083591,train
n03907908,_part_of,n03557360,train
n04154152,_hypernym,n04011827,train
n02074726,_hypernym,n02073250,train
n04577293,_hypernym,n02792552,train
n12539832,_hypernym,n13100677,train
n00007846,_hyponym,n10370381,train
n03596285,_part_of,n03595860,train
n02291748,_hypernym,n02291572,train
n03001627,_has_part,n03654826,train
n04295881,_hyponym,n04232312,train
n01727646,_hyponym,n01728920,train
n03790230,_has_part,n03579982,train
n07705931,_hyponym,n07762114,train
n10745770,_hypernym,n10129825,train
n03419014,_hyponym,n04143897,train
n02424695,_hypernym,n02419796,train
n04586932,_hyponym,n03945615,train
n10787470,_hyponym,n10020366,train
n02517938,_hyponym,n02518324,train
n02346627,_hyponym,n02346998,train
n04395875,_hypernym,n02913152,train
n12077944,_hypernym,n12041446,train
n10431625,_hypernym,n00007846,train
n02248510,_hypernym,n02248368,train
n04176068,_hypernym,n03484083,train
n10237196,_hypernym,n09622302,train
n01468238,_hypernym,n01466257,train
n13028611,_hypernym,n13024012,train
n04341686,_hyponym,n03290195,train
n02441326,_hyponym,n02443484,train
n01850373,_hypernym,n01846331,train
n03287733,_hypernym,n03789946,train
n02445715,_hyponym,n02447021,train
n03082127,_hyponym,n04148054,train
n02002075,_hyponym,n02003204,train
n10521100,_hypernym,n10308732,train
n10369955,_hypernym,n10582746,train
n03100897,_synset_domain_topic_of,n03316406,train
n03614007,_part_of,n04413419,train
n12936826,_hypernym,n12205694,train
n04505470,_part_of,n04505036,train
n09238926,_hypernym,n09287968,train
n03183080,_hyponym,n03175604,train
n03773504,_hypernym,n04565375,train
n07824988,_hypernym,n07582441,train
n13154841,_part_of,n11674332,train
n02229544,_hypernym,n02226183,train
n03366721,_hypernym,n03365592,train
n04530566,_has_part,n03548626,train
n07679356,_hyponym,n07681926,train
n02291572,_hypernym,n02291220,train
n03239259,_hypernym,n03763968,train
n07710283,_hyponym,n07719839,train
n09830194,_hyponym,n10498816,train
n03750614,_hypernym,n04051825,train
n01375204,_synset_domain_topic_of,n00015388,train
n03100490,_hyponym,n04231693,train
n01384687,_hyponym,n01385330,train
n02824448,_hypernym,n02676261,train
n02281787,_hyponym,n02282903,train
n02461830,_hypernym,n01886756,train
n05526957,_hypernym,n05238282,train
n03020034,_hyponym,n03433247,train
n12683407,_hypernym,n11669921,train
n03051540,_hyponym,n04335693,train
n03966751,_hypernym,n03481172,train
n03150795,_hypernym,n03568117,train
n02625851,_hypernym,n02625612,train
n03183080,_hyponym,n04081844,train
n12724942,_hyponym,n12728164,train
n13104059,_hyponym,n12268246,train
n01639765,_hyponym,n01643896,train
n07810907,_hyponym,n07582609,train
n04359589,_hyponym,n02888569,train
n11669921,_hyponym,n12290748,train
n03799375,_hypernym,n04099429,train
n09942970,_hypernym,n10317007,train
n04524313,_hyponym,n04099429,train
n10538629,_hypernym,n09974648,train
n02152740,_hypernym,n00015388,train
n04264914,_hypernym,n03125870,train
n03763968,_hypernym,n04509592,train
n11623105,_hypernym,n13108841,train
n03854065,_hypernym,n04586932,train
n13134302,_hyponym,n12451915,train
n07809368,_hyponym,n07827750,train
n04413151,_hypernym,n03093792,train
n01924916,_hyponym,n01927456,train
n02419796,_hyponym,n02425086,train
n03536122,_hypernym,n02688443,train
n03138344,_hypernym,n03659292,train
n03201638,_hypernym,n03450230,train
n01651059,_hypernym,n01650167,train
n02401031,_hyponym,n02414578,train
n04545471,_hypernym,n03391770,train
n03321103,_has_part,n02683558,train
n04103918,_hypernym,n03100490,train
n01728572,_hypernym,n01727646,train
n12303462,_hypernym,n13104059,train
n07568095,_hypernym,n07567707,train
n01525720,_hyponym,n01576695,train
n12582846,_hyponym,n12583855,train
n02942699,_hypernym,n03926148,train
n02803349,_hyponym,n02804252,train
n07818689,_hypernym,n07811416,train
n03236735,_has_part,n03815278,train
n04081844,_hyponym,n02685365,train
n04576211,_hyponym,n04467099,train
n00450335,_hyponym,n00450866,train
n04390873,_hypernym,n03691459,train
n02041246,_hyponym,n02042046,train
n07611358,_hypernym,n07609840,train
n04368496,_part_of,n03239054,train
n03141065,_hypernym,n02958343,train
n03733925,_hyponym,n04437953,train
n03760671,_hyponym,n03667829,train
n04489008,_has_part,n04238321,train
n02193009,_hypernym,n02190166,train
n04041544,_hypernym,n03078287,train
n12413419,_member_meronym,n12412987,train
n07908411,_hypernym,n07907943,train
n02433925,_hypernym,n02430045,train
n02576223,_hyponym,n02578233,train
n03409591,_has_part,n04089152,train
n03093792,_hyponym,n04413151,train
n01482330,_hypernym,n01482071,train
n07570720,_derivationally_related_form,n10012484,train
n07755411,_hyponym,n07755707,train
n03391770,_hyponym,n03391301,train
n02738535,_hypernym,n03001627,train
n03820950,_hypernym,n04377057,train
n12751172,_hypernym,n13109733,train
n07764486,_part_of,n12775919,train
n11950345,_hypernym,n11669921,train
n11665372,_hyponym,n11666854,train
n01621127,_hyponym,n01625562,train
n10732010,_hypernym,n10340312,train
n02727825,_hyponym,n03257586,train
n03032811,_hyponym,n03208556,train
n13125117,_hyponym,n12412987,train
n01726692,_hyponym,n01752165,train
n10293861,_hypernym,n10271677,train
n10557854,_hyponym,n10508710,train
n01905661,_hyponym,n01940736,train
n02788148,_part_of,n02777734,train
n12651821,_hyponym,n12400720,train
n03065424,_hypernym,n04341686,train
n02600798,_hypernym,n02600298,train
n04469003,_has_part,n04463679,train
n13111174,_hyponym,n12339526,train
n01873310,_hypernym,n01871875,train
n12205694,_hyponym,n12839574,train
n03903424,_hyponym,n04367011,train
n11887119,_hypernym,n11669921,train
n06276697,_hyponym,n06276902,train
n03351979,_member_holonym,n03351434,train
n02403231,_hypernym,n02402425,train
n04400289,_hyponym,n04404412,train
n07693972,_hypernym,n07684600,train
n02206270,_hyponym,n02218713,train
n12293723,_hyponym,n12295796,train
n12322099,_hypernym,n12320010,train
n04511002,_hyponym,n03868044,train
n02324045,_hyponym,n02325366,train
n01563128,_hypernym,n01525720,train
n12108871,_hypernym,n12102133,train
n09857007,_hyponym,n10172080,train
n04402746,_hypernym,n03078287,train
n02882647,_hypernym,n02882483,train
n11672400,_hypernym,n11665372,train
n03790230,_has_part,n03512911,train
n09632518,_hyponym,n10759151,train
n04590553,_part_of,n03791235,train
n04434932,_hypernym,n03540267,train
n12285369,_hypernym,n12284262,train
n01776313,_hyponym,n01776705,train
n02604954,_hypernym,n02554730,train
n04574999,_hyponym,n03430551,train
n04008634,_hyponym,n02871963,train
n07679356,_hyponym,n07682624,train
n01466257,_hyponym,n01468238,train
n12205694,_hyponym,n12837803,train
n12921868,_hypernym,n12917901,train
n03804744,_hyponym,n04383130,train
n02450034,_hyponym,n02450829,train
n03825080,_hyponym,n03877472,train
n12858397,_hypernym,n12858150,train
n07767344,_part_of,n12301180,train
n12638218,_hyponym,n12638556,train
n12491826,_hypernym,n13104059,train
n01639765,_hyponym,n01653509,train
n09619168,_hyponym,n10787470,train
n02594250,_hyponym,n02596252,train
n12725940,_hypernym,n12724942,train
n10370381,_hyponym,n10488309,train
n03802393,_hypernym,n03309808,train
n02164464,_hyponym,n02171453,train
n01674464,_hyponym,n01685439,train
n07751451,_hypernym,n07705931,train
